ID;nr_wyrobu;nazwa_wyrobu;ilosc_na_zmiane_ke
125;736522,20;Z VP Kl. Osterfreunde 66171;25056
126;99993,00;SM Lindor Gratisgeschenk;15930
127;71005,10;Lindor AK gold EV;7075
128;71007,00;Lindor AK gold;7075
129;70975,00;Rot Tannenbaum AK;4636
130;70939,00;Schneefl. Tannenbaum AK;4636
131;70915,00;Schneefl.Bonbon gro·;3840
132;68035,00;EX DE Lindor Cornet Milk;7800
133;71297,00;AK poster XXL Liliput Quer;9060
134;68036,00;EX DE Lindor Cornet Assorted;7800
135;71295,00;AK poster XXL 23+1;4840
136;99987,00;SM Lindor gratis Kissen;15000
137;71123,00;AK Kaufhof Gutschein;8400
138;12797,00;EX DE Lindor Heart Box Milk;9600
139;68029,00;EX DE Gold Bunny Tube Flower;15120
140;76265,00;EX DE Snowman Tin - Etykieciarka;11000
141;68053,00;EX DE,FR,UK,NL Hello Emoti Egg;9240
142;922120,00;Z VP O.Gold M.Ballotin 60533;9600
143;43778,00;EX ID (Arab) Hello Emoti;189360
144;68012,00;EX DE Mega Carrot;9600
145;12827,00;EX DE Lindor Valentin Milk;12000
146;12837,00;EX DE Lindor Valentin Milk;15930
147;60528,10;EX UK Bugs&Bees Flowpack;27720
148;60528,20;EX DE Bugs&Bees Flowpack;27720
149;922083,00;Z VP Hello Emoti Stange 60143;9240
150;922106,00;Z VP Macarons Kl.Gesch. 60463;9590
151;922104,00;Z VP Macarons Gr.Gesch. 60453;7200
152;60433,00;Lindor Edition Cornet Mix;7800
153;922119,00;Z VP Blumen Ed.Rîhrchen 60523;15120
154;60529,10;TT EX CA Bugs&Bees;27720
155;60529,20;TT EX CA Bugs&Bees;27720
156;68034,00;EX DE Easter Gold Ballotin;9600
157;922100,00;Z VP Lindor Cornet Mix 60433;7800
158;922099,00;Z VP Lindor Mini Cornet 60429;7800
159;67177,10;EX DE Kirsch Eggs;33195
160;67177,20;EX DE Kirsch Eggs;33195
161;67151,10;Eierlikîr Eier;33195
162;67151,20;Eierlikîr Eier;33195
163;12241,00;Lindor Glamour Kissen Mix;11760
164;68096,00;EX FR Gold Bunny Carrot Vehicle;10800
165;12777,00;EX DE Lindor Valentin Pillow Milk;11760
166;67157,10;EX DE Egg Brandy Eggs;33195
167;67157,20;EX DE Egg Brandy Eggs;33195
168;90903,00;Lindt Taler;180000
169;921938,00;Z VP Hello Oster Emotis 60325;180000
170;922105,00;Z VP Macarons Rîhrchen 60459;8352
171;67167,10;EX DE Cognac Eggs;33195
172;67167,20;EX DE Cognac Eggs;33195
173;67161,10;Cognac Eier;33195
174;67161,20;Cognac Eier;33195
175;68049,00;EX DE Macarons Tube;8352
176;60459,00;Macarons Rîhrchen;8352
177;68048,00;EX DE Macarons Egg Present;9590
178;60463,00;Macarons kleines Geschenk;9590
179;68052,00;EX DE Macarons Present;7200
180;736525,10;Z VP Eierlikîr Eier 67151;33195
181;736525,20;Z VP Eierlikîr Eier 67151;33195
